subscription_id,event_date,event_type,mrr_change
14,2023-01-29,new,29
19,2023-12-14,new,29
21,2025-05-11,new,79
24,2026-01-22,new,79
24,2026-07-21,churn,-207
41,2025-04-26,new,79
48,2025-07-15,new,29
51,2023-03-13,new,29
51,2023-06-11,contraction,-50
51,2023-09-09,churn,-69
54,2023-09-06,new,79
58,2025-04-30,new,29
66,2024-04-11,new,199
71,2024-03-29,new,79
75,2025-12-16,new,29
75,2026-03-16,contraction,-25
98,2023-03-18,new,29
102,2025-12-26,new,29
102,2026-06-24,churn,-68
106,2024-04-16,new,79
131,2024-04-27,new,29
145,2024-10-07,new,29
150,2024-11-26,new,29
150,2025-02-24,contraction,-50
150,2025-05-25,churn,-73
152,2023-10-29,new,29
155,2023-11-05,new,199
155,2024-05-03,churn,-499
159,2024-03-21,new,79
160,2026-02-08,new,29
160,2026-08-07,churn,-71
162,2024-07-12,new,79
165,2025-11-03,new,29
165,2026-05-02,churn,-81
166,2024-06-30,new,29
183,2025-01-06,new,29
183,2025-04-06,expansion,75
189,2025-07-17,new,29
190,2023-07-12,new,199
195,2023-02-11,new,29
195,2023-08-10,churn,-76
202,2023-10-27,new,29
209,2023-04-07,new,79
214,2023-04-19,new,29
216,2025-03-22,new,29
219,2024-09-30,new,199
222,2023-07-05,new,29
224,2023-03-24,new,79
224,2023-09-20,churn,-197
228,2025-07-05,new,79
228,2025-10-03,contraction,-100
229,2023-09-30,new,79
232,2025-03-20,new,29
234,2023-02-19,new,29
239,2024-07-17,new,29
244,2024-11-26,new,79
250,2024-06-22,new,199
259,2023-07-21,new,79
259,2024-01-17,churn,-192
260,2025-08-08,new,29
268,2024-07-09,new,29
268,2025-01-05,churn,-70
269,2024-08-05,new,79
282,2023-07-17,new,29
289,2023-01-21,new,29
291,2024-01-11,new,29
293,2026-02-12,new,79
293,2026-08-11,churn,-208
299,2023-10-18,new,29
300,2023-04-05,new,79
316,2025-12-30,new,199
317,2025-05-11,new,79
325,2024-10-20,new,199
330,2025-09-04,new,79
332,2024-08-13,new,199
336,2024-04-26,new,79
348,2025-08-22,new,79
348,2026-02-18,churn,-195
354,2023-10-01,new,29
354,2023-12-30,expansion,100
370,2023-02-17,new,79
384,2023-12-16,new,29
403,2026-01-10,new,29
403,2026-04-10,contraction,-25
403,2026-07-09,churn,-65
406,2024-08-03,new,199
408,2024-11-23,new,29
414,2023-11-12,new,29
420,2023-04-09,new,199
422,2023-02-05,new,29
423,2025-11-10,new,79
430,2026-02-25,new,29
445,2023-09-17,new,29
449,2025-10-11,new,29
458,2023-03-09,new,79
458,2023-09-05,churn,-193
461,2024-05-31,new,29
463,2024-03-07,new,199
469,2024-03-12,new,29
469,2024-06-10,contraction,-100
470,2024-02-09,new,29
470,2024-08-07,churn,-77
471,2023-12-15,new,29
471,2024-06-12,churn,-67
479,2024-11-02,new,79
479,2025-01-31,contraction,-50
479,2025-05-01,churn,-182
480,2025-03-06,new,29
480,2025-06-04,expansion,50
480,2025-09-02,churn,-73
482,2024-06-16,new,199
482,2024-12-13,churn,-499
493,2025-10-22,new,199
505,2023-04-19,new,29
513,2025-11-18,new,29
513,2026-05-17,churn,-75
514,2025-06-23,new,79
514,2025-09-21,expansion,75
525,2024-11-11,new,29
525,2025-02-09,contraction,-25
525,2025-05-10,churn,-79
527,2024-08-19,new,29
528,2023-06-24,new,29
538,2023-10-11,new,29
541,2023-09-11,new,199
542,2025-06-26,new,29
545,2024-05-21,new,199
545,2024-11-17,churn,-499
550,2023-11-06,new,29
550,2024-02-04,expansion,75
551,2024-04-01,new,79
563,2025-02-24,new,29
580,2023-04-18,new,29
593,2026-01-17,new,29
593,2026-07-16,churn,-74
596,2025-06-17,new,29
598,2025-12-13,new,199
599,2024-10-30,new,29
599,2025-01-28,contraction,-75
605,2023-12-24,new,29
608,2025-06-18,new,29
633,2025-01-27,new,79
634,2024-08-22,new,29
637,2024-02-29,new,29
641,2025-11-19,new,29
642,2023-06-11,new,79
645,2023-11-01,new,79
649,2026-03-06,new,79
649,2026-09-02,churn,-208
651,2026-01-09,new,79
651,2026-07-08,churn,-189
656,2026-01-10,new,29
659,2023-10-09,new,79
659,2024-04-06,churn,-191
663,2024-05-09,new,29
676,2024-02-23,new,199
676,2024-05-23,expansion,50
683,2025-08-02,new,199
683,2026-01-29,churn,-465
689,2023-05-04,new,79
690,2025-09-03,new,79
696,2024-04-20,new,29
702,2025-10-14,new,79
707,2024-07-23,new,79
712,2023-08-30,new,199
719,2023-10-12,new,29
719,2024-04-09,churn,-69
720,2024-02-25,new,29
723,2025-04-04,new,29
723,2025-10-01,churn,-75
727,2023-06-06,new,79
735,2025-11-09,new,29
739,2023-10-08,new,29
740,2023-09-22,new,199
740,2024-03-20,churn,-449
744,2026-01-22,new,29
744,2026-07-21,churn,-71
745,2025-07-10,new,79
745,2025-10-08,contraction,-75
751,2025-08-16,new,29
755,2025-06-22,new,79
760,2024-12-06,new,79
760,2025-06-04,churn,-194
768,2024-06-15,new,79
772,2023-02-11,new,79
772,2023-08-10,churn,-197
774,2023-09-21,new,79
780,2025-10-29,new,199
784,2024-10-28,new,199
787,2023-08-29,new,29
787,2024-02-25,churn,-71
789,2023-06-09,new,29
790,2025-07-18,new,79
792,2026-02-05,new,79
799,2023-02-13,new,29
814,2026-03-07,new,79
816,2023-08-27,new,79
819,2024-06-13,new,199
819,2024-12-10,churn,-475
828,2023-09-04,new,79
836,2024-11-12,new,29
837,2025-07-16,new,29
838,2024-02-14,new,29
838,2024-05-14,expansion,75
